,,,,,,,,,Performance,,,,,,,,,,,,,Aerial Duels,,,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,26,1990,24.3,7,0,0,18,10,3,56,47,32,0,0,0,162,6,5,54.5,Matches,5f09991f
2,Rolando Aarons,eng ENG,MFFW,Newcastle Utd,eng Premier League,21,1995,1.5,0,0,0,1,3,1,2,1,4,0,0,0,9,1,3,25.0,Matches,c5942695
3,Rolando Aarons,eng ENG,MFFW,Hellas Verona,it Serie A,21,1995,5.7,0,0,0,9,11,0,10,2,8,0,0,0,19,9,15,37.5,Matches,c5942695
4,Ignazio Abate,it ITA,DF,Milan,it Serie A,30,1986,11.7,3,0,0,12,8,3,31,8,17,0,0,0,56,5,4,55.6,Matches,1c529186
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.5,3,0,0,9,6,0,0,4,3,0,0,0,32,7,7,50.0,Matches,2f798b41
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.9,0,0,0,1,0,0,2,3,1,0,0,0,5,1,2,33.3,Matches,bbe88396
7,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,2,0,0,29,16,2,6,18,15,0,0,0,93,13,16,44.8,Matches,a4c3f7af
8,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,31,1986,25.6,3,0,0,11,20,0,7,40,32,0,0,1,113,78,42,65.0,Matches,565bf0da
9,Tammy Abraham,eng ENG,FW,Swansea City,eng Premier League,19,1997,19.2,0,0,0,15,27,9,13,1,8,0,0,0,41,39,58,40.2,Matches,f586779e
10,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,2,0,0,20,27,0,5,19,32,0,0,0,55,17,17,50.0,Matches,1c08a3c8
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38.0,4,0,0,31,32,1,12,88,32,0,1,1,260,103,40,72.0,Matches,b96b595c
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,25,1992,10.6,4,2,1,17,14,0,12,16,6,0,0,0,68,12,17,41.4,Matches,d7403bd5
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,31,1985,4.6,2,1,0,8,8,0,30,9,5,0,0,0,40,7,4,63.6,Matches,aff418dc
14,Antonio Adán,es ESP,GK,Betis,es La Liga,30,1987,30.0,4,0,0,1,3,0,0,0,0,0,0,0,41,4,1,80.0,Matches,65d62814
